Designator,Mid X,Mid Y,Rotation,Layer
C1,118.133,-52.436,270.0,top
C10,94.4275,-35.76583,0.0,top
C11,32.3445,-73.962,180.0,top
C12,38.6645,-70.492,0.0,top
C13,109.361,-37.621,180.0,top
C14,102.846,-37.78483,0.0,top
C15,115.718,-89.202,180.0,top
C16,111.296,-51.408,180.0,top
C17,42.1225,-73.877,180.0,top
C18,50.12,-68.96,0.0,top
C19,48.87,-83.15,0.0,top
C2,124.091,-64.838,90.0,top
C20,46.32,-79.6,0.0,top
C21,47.19,-45.227,180.0,top
C22,47.19,-42.107,180.0,top
C3,126.0,-64.87,90.0,top
C4_2,32.766,-37.402,90.0,top
C4,36.769,-36.714,270.0,top
C5,41.749,-40.064,180.0,top
C6,43.779,-36.524,0.0,top
C9,60.563,-51.4,90.0,top
D1,144.503,-30.334,90.0,top
D10,54.660524,-41.505,0.0,top
D11,54.749024,-45.977,180.0,top
D12,65.9165,-41.158,180.0,top
D13,87.38,-88.37,180.0,top
D14,87.2125,-85.582,0.0,top
D15,99.74,-88.82,0.0,top
D16,99.622,-85.969,180.0,top
D17,94.435,-37.94383,180.0,top
D18,94.2925,-33.47283,0.0,top
D19,35.3045,-77.492,0.0,top
D2,117.124,-56.361,270.0,top
D20,76.463,-70.3,0.0,top
D21,59.724,-70.419,180.0,top
D22,76.151,-41.268,180.0,top
D23,93.53,-88.52,180.0,top
D24,93.5,-85.77,0.0,top
D25,60.692524,-41.483,0.0,top
D26,61.045524,-45.762,180.0,top
D27,70.732,-41.291,180.0,top
D28,105.14,-88.82,180.0,top
D29,105.268,-86.423,0.0,top
D3,34.639,-29.951,90.0,top
D30,81.5505,-41.411,180.0,top
D31,87.44,-41.269,180.0,top
D32,109.199,-32.615,0.0,top
D33,109.191,-35.441,180.0,top
D34,102.746,-32.31283,0.0,top
D35,102.746,-35.06983,180.0,top
D36,50.77,-77.4,270.0,top
D37,42.62,-81.7,90.0,top
D38,44.17,-87.7,0.0,top
D39,123.65,-54.8,0.0,top
D4,125.111,-26.341,90.0,top
D5,31.559,-30.354,270.0,top
D6,47.4785,-32.659,0.0,top
D7,65.166,-51.298,270.0,top
D8,64.752,-62.9525,90.0,top
D9,59.413,-63.1535,0.0,top
F1,115.17,-31.4,0.0,top
F3,38.039,-31.334,270.0,top
J1,125.23,-59.9,90.0,top
J10,43.625,-23.916,180.0,top
J11,116.226,-23.925,180.0,top
J12,100.735,-23.926,0.0,top
J13,85.265,-23.926,180.0,top
J14,67.93,-96.01,0.0,top
J15,140.273,-49.104,0.0,top
J2,124.24,-97.4,270.0,top
J3,54.035,-23.916,180.0,top
J4,111.81,-96.01,0.0,top
J5,64.435,-23.926,180.0,top
J6,74.845,-23.926,180.0,top
J7,88.469,-96.059,0.0,top
J8,98.859,-96.049,0.0,top
J9,44.83,-96.01,0.0,top
K1,75.51,-81.34,270.0,top
K2,60.43,-81.4,270.0,top
L1,42.589,-43.434,0.0,top
LED2,122.145,-92.925,0.0,top
Q1,85.98,-81.94,90.0,top
Q2,98.94,-83.02,90.0,top
Q3,92.23,-82.02,90.0,top
Q4,106.026,-83.042,90.0,top
Q5,45.5295,-75.109,270.0,top
R1,120.26,-62.219,180.0,top
R10,43.739,-32.634,0.0,top
R11,45.339,-30.634,0.0,top
R12,55.874,-63.196,270.0,top
R13,54.012524,-30.1,0.0,top
R14,52.877524,-43.894,0.0,top
R15,66.096,-30.173,180.0,top
R16,65.107,-44.105,90.0,top
R17,87.271,-66.929,180.0,top
R18,86.03,-78.82,180.0,top
R19,89.152,-78.308,90.0,top
R2,120.247,-60.393,180.0,top
R20,88.973,-82.737,270.0,top
R21,97.434,-66.944,180.0,top
R22,99.54,-79.195,90.0,top
R23,97.54,-79.22,90.0,top
R24,102.206,-80.611,90.0,top
R25,92.4605,-30.90383,0.0,top
R26,96.0,-30.782,0.0,top
R27,33.0045,-63.472,0.0,top
R28,36.7945,-63.492,180.0,top
R29,35.7745,-73.932,0.0,top
R3,118.77,-88.4,90.0,top
R30,38.287,-66.9,270.0,top
R31,72.825,-70.307,180.0,top
R32,63.551,-70.496,0.0,top
R33,77.305,-30.13,0.0,top
R34,75.067,-43.98,90.0,top
R35,93.263,-66.952,180.0,top
R36,92.277,-78.903,180.0,top
R37,95.33,-77.77,90.0,top
R38,95.543,-82.943,270.0,top
R39,59.899524,-29.977,0.0,top
R4,122.1315,-89.618,180.0,top
R40,59.364524,-43.927,0.0,top
R41,72.013,-30.148,180.0,top
R42,69.729,-43.934,90.0,top
R43,101.384,-66.944,0.0,top
R44,106.97,-79.4,90.0,top
R45,104.58,-79.22,90.0,top
R46,102.491,-85.284,270.0,top
R47,83.15,-30.204,0.0,top
R48,80.2525,-44.018,90.0,top
R49,88.938,-30.2,0.0,top
R5,122.1395,-87.479,180.0,top
R50,86.237,-43.971,90.0,top
R51,109.199,-30.168,180.0,top
R52,109.361,-39.711,0.0,top
R53,102.746,-30.12583,180.0,top
R54,102.845,-40.01983,0.0,top
R55,115.744,-87.3875,180.0,top
R56,113.765,-56.122,270.0,top
R57,42.37,-63.014,270.0,top
R58,47.8905,-63.425,270.0,top
R59,44.37,-63.014,270.0,top
R6,126.67,-93.175,270.0,top
R60,50.17,-63.4,270.0,top
R61,48.97,-73.3,180.0,top
R62,42.1755,-75.851,180.0,top
R63,48.441392,-76.65,270.0,top
R64,49.57,-87.6125,270.0,top
R65,140.503,-30.359,90.0,top
R66,142.423,-30.359,90.0,top
R67,137.966,-30.352,90.0,top
R7,124.818,-93.211,270.0,top
R8,31.489,-25.9,90.0,top
R9,43.639,-34.484,180.0,top
SW3,110.932,-88.3065,0.0,top
SW4,110.875865,-56.033,270.0,top
U1,140.253,-23.634,180.0,top
U10,86.061,-72.874,270.0,top
U11,98.403,-72.844,270.0,top
U12,33.8545,-68.902,180.0,top
U13,68.02,-69.069,180.0,top
U14,76.25,-35.65,270.0,top
U15,92.2735,-72.912,270.0,top
U16,60.622524,-35.433,270.0,top
U17,70.8,-35.65,270.0,top
U18,103.54,-72.82,270.0,top
U19,81.3785,-35.65,270.0,top
U20,87.431,-35.692,270.0,top
U21,44.0745,-68.895,180.0,top
U5,118.7,-76.45,270.0,top
U6,40.129,-36.654,90.0,top
U7,75.961,-56.873,270.0,top
U8,54.590524,-35.455,270.0,top
U9,65.84,-35.65,270.0,top
