pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
118.133,-52.436,-90.0,top,C1,,,C_0603_1608Metric,100nF,smt
94.4275,-35.76583,0.0,top,C10,,,C_0603_1608Metric,10nF,smt
32.3445,-73.962,180.0,top,C11,,,C_0603_1608Metric,100nF,smt
38.6645,-70.492,0.0,top,C12,,,C_0603_1608Metric,1uF,smt
109.361,-37.621,180.0,top,C13,,,C_0603_1608Metric,100nF,smt
102.846,-37.78483,0.0,top,C14,,,C_0805_2012Metric,100nF,smt
115.718,-89.202,180.0,top,C15,,,C_0603_1608Metric,1uF,smt
111.296,-51.408,180.0,top,C16,,,C_0603_1608Metric,1uF,smt
42.1225,-73.877,180.0,top,C17,,,C_0603_1608Metric,220pF,smt
50.12,-68.96,180.0,top,C18,,,CP_Elec_4x5.4,1uF,smt
48.87,-83.15,180.0,top,C19,,,CP_Elec_4x5.4,1uF,smt
124.091,-64.838,90.0,top,C2,,,C_0603_1608Metric,2.2uF,smt
46.32,-79.6,0.0,top,C20,,,C_0603_1608Metric,100nF,smt
47.19,-45.227,180.0,top,C21,,,C_0805_2012Metric,22uF,smt
47.19,-42.107,180.0,top,C22,,,C_0805_2012Metric,22uF,smt
126.0,-64.87,90.0,top,C3,,,C_0603_1608Metric,100nF,smt
32.766,-37.402,-90.0,top,C4,,,CP_Elec_4x5.4,10uF,smt
36.769,-36.714,-90.0,top,C4,,,C_1206_3216Metric,10uF,smt
41.749,-40.064,180.0,top,C5,,,C_0805_2012Metric,100nF,smt
43.779,-36.524,0.0,top,C6,,,C_0805_2012Metric,100pF,smt
60.563,-51.4,-90.0,top,C9,,,CP_Elec_4x5.4,10uF,smt
144.503,-30.334,90.0,top,D1,,,LED_0603_1608Metric,LED,smt
54.660524,-41.505,0.0,top,D10,,,D_SOD-123F,PMEG4010CEH,smt
54.749024,-45.977,180.0,top,D11,,,LED_0603_1608Metric,LED,smt
65.9165,-41.158,180.0,top,D12,,,LED_0603_1608Metric,LED,smt
87.38,-88.37,180.0,top,D13,,,D_SOD-123F,PMEG4010CEH,smt
87.2125,-85.582,0.0,top,D14,,,LED_0603_1608Metric,LED,smt
99.74,-88.82,0.0,top,D15,,,D_SOD-123F,PMEG4010CEH,smt
99.622,-85.969,180.0,top,D16,,,LED_0603_1608Metric,LED,smt
94.435,-37.94383,180.0,top,D17,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
94.2925,-33.47283,0.0,top,D18,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
35.3045,-77.492,0.0,top,D19,,,D_SMA,SMAJ12A,smt
117.124,-56.361,90.0,top,D2,,,SOT-23,SM712,smt
76.463,-70.3,0.0,top,D20,,,LED_0603_1608Metric,LED,smt
59.724,-70.419,180.0,top,D21,,,LED_0603_1608Metric,LED,smt
76.151,-41.268,180.0,top,D22,,,LED_0603_1608Metric,LED,smt
93.53,-88.52,180.0,top,D23,,,D_SOD-123F,PMEG4010CEH,smt
93.5,-85.77,0.0,top,D24,,,LED_0603_1608Metric,LED,smt
60.692524,-41.483,0.0,top,D25,,,D_SOD-123F,PMEG4010CEH,smt
61.045524,-45.762,180.0,top,D26,,,LED_0603_1608Metric,LED,smt
70.732,-41.291,180.0,top,D27,,,LED_0603_1608Metric,LED,smt
105.14,-88.82,180.0,top,D28,,,D_SOD-123F,PMEG4010CEH,smt
105.268,-86.423,0.0,top,D29,,,LED_0603_1608Metric,LED,smt
34.639,-29.951,90.0,top,D3,,,D_SMA,SMAJ33A,smt
81.5505,-41.411,180.0,top,D30,,,LED_0603_1608Metric,LED,smt
87.44,-41.269,180.0,top,D31,,,LED_0603_1608Metric,LED,smt
109.199,-32.615,0.0,top,D32,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
109.191,-35.441,180.0,top,D33,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
102.746,-32.31283,0.0,top,D34,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
102.746,-35.06983,180.0,top,D35,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
50.77,-77.4,-90.0,top,D36,,,SOD-123_L2.7-W1.6-LS3.7-RD-1,BZT52C12_C2891780,smt
42.62,-81.7,90.0,top,D37,,,D_SMA,SMAJ33A,smt
44.17,-87.7,0.0,top,D38,,,D_SMA,MRA4007T3G,smt
123.65,-54.8,0.0,top,D39,,,D_SMA,SS14,smt
125.111,-26.341,90.0,top,D4,,,D_SMA,SMAJ33A,smt
31.559,-30.354,-90.0,top,D5,,,LED_0603_1608Metric,LED_R,smt
47.4785,-32.659,0.0,top,D6,,,LED_0603_1608Metric,LED,smt
65.166,-51.298,-90.0,top,D7,,,D_SMA,SMAJ5.0A,smt
64.752,-62.9525,90.0,top,D8,,,D_SMA_TVS,SMAJ12CA,smt
59.413,-63.1535,180.0,top,D9,,,SOT-23,SM712,smt
115.17,-31.4,0.0,top,F1,,,F1812,BSMD1812-150-33V,smt
38.039,-31.334,-90.0,top,F3,,,Reseatteble Fuse,Resettable fuse,smt
123.96,-58.63,90.0,top,J1,,,PinSocket_2x02_P2.54mm_Vertical,Conn_02x02_Counter_Clockwise,tht
46.165,-23.316,180.0,top,J10,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
118.766,-23.325,180.0,top,J11,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
93.115,-23.926,0.0,top,J12,,,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",Bolnera 4P,tht
87.805,-23.326,180.0,top,J13,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
55.23,-96.01,0.0,top,J14,,,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",Bolnera 6P,tht
139.003,-47.834,0.0,top,J15,,,PinHeader_2x02_P2.54mm_Vertical,PINHD_2x2_Male,tht
125.51,-97.4,-90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,Auxiliares,tht
56.575,-23.316,180.0,top,J3,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
106.73,-96.01,0.0,top,J4,,,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",Bolnera 3P,tht
66.975,-23.326,180.0,top,J5,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
77.385,-23.326,180.0,top,J6,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
85.929,-96.659,0.0,top,J7,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
96.319,-96.649,0.0,top,J8,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Bolnera 2P,tht
39.75,-96.01,0.0,top,J9,,,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",Bolnera 3P,tht
75.51,-81.34,-90.0,top,K1,,,RELAY-TH_SRA-X-CX,SRA-24VDC-CL,tht
60.43,-81.4,-90.0,top,K2,,,RELAY-TH_SRA-X-CX,SRA-24VDC-CL,tht
42.589,-43.434,0.0,top,L1,,,IND-SMD_L4.4-W4.2_CXP0420,HCMA-0420-6R8-M,tht
122.145,-92.925,0.0,top,LED2,,,LED_LiteOn_LTST-C19HE1WT,LiteOn_LTST-C19HE1WT,smt
85.98,-81.94,-90.0,top,Q1,,,SOT-23,IRLML0040,smt
98.94,-83.02,-90.0,top,Q2,,,SOT-23,AO3407A,smt
92.23,-82.02,-90.0,top,Q3,,,SOT-23,IRLML0040,smt
106.026,-83.042,-90.0,top,Q4,,,SOT-23,AO3407A,smt
45.5295,-75.109,90.0,top,Q5,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,IRLML6402TRPBF-JSM,tht
120.26,-62.219,180.0,top,R1,,,R_0603_1608Metric,33,smt
43.739,-32.634,0.0,top,R10,,,R_0603_1608Metric,62k,smt
45.339,-30.634,0.0,top,R11,,,R_0603_1608Metric,100,smt
55.874,-63.196,-90.0,top,R12,,,R_0603_1608Metric,120,smt
54.012524,-30.1,0.0,top,R13,,,R_0603_1608Metric,2k,smt
52.877524,-43.894,0.0,top,R14,,,R_0603_1608Metric,140,smt
66.096,-30.173,180.0,top,R15,,,R_0603_1608Metric,2k,smt
65.107,-44.105,90.0,top,R16,,,R_0603_1608Metric,140,smt
87.271,-66.929,180.0,top,R17,,,R_0603_1608Metric,100,smt
86.03,-78.82,180.0,top,R18,,,R_0603_1608Metric,22k,smt
89.152,-78.308,90.0,top,R19,,,R_0603_1608Metric,30k,smt
120.247,-60.393,180.0,top,R2,,,R_0603_1608Metric,33,smt
88.973,-82.737,-90.0,top,R20,,,R_0603_1608Metric,1.5k,smt
97.434,-66.944,180.0,top,R21,,,R_0603_1608Metric,100,smt
99.54,-79.195,90.0,top,R22,,,R_0603_1608Metric,100,smt
97.54,-79.22,90.0,top,R23,,,R_0603_1608Metric,100k,smt
102.206,-80.611,90.0,top,R24,,,R_0603_1608Metric,1.5k,smt
92.4605,-30.90383,0.0,top,R25,,,R_0603_1608Metric,1k,smt
96.0,-30.782,0.0,top,R26,,,R_0805_2012Metric,147,smt
33.0045,-63.472,0.0,top,R27,,,R_0603_1608Metric,4K7,smt
36.7945,-63.492,180.0,top,R28,,,R_0603_1608Metric,4K7,smt
35.7745,-73.932,0.0,top,R29,,,R_0603_1608Metric,0,smt
118.77,-88.4,90.0,top,R3,,,R_0603_1608Metric,20,smt
38.287,-66.9,-90.0,top,R30,,,R_0603_1608Metric,10k,smt
72.825,-70.307,180.0,top,R31,,,R_0603_1608Metric,1.5k,smt
63.551,-70.496,0.0,top,R32,,,R_0603_1608Metric,1.5k,smt
77.305,-30.13,0.0,top,R33,,,R_0603_1608Metric,1k,smt
75.067,-43.98,90.0,top,R34,,,R_0603_1608Metric,140,smt
93.263,-66.952,180.0,top,R35,,,R_0603_1608Metric,100,smt
92.277,-78.903,180.0,top,R36,,,R_0603_1608Metric,22k,smt
95.33,-77.77,90.0,top,R37,,,R_0603_1608Metric,30k,smt
95.543,-82.943,-90.0,top,R38,,,R_0603_1608Metric,1.5k,smt
59.899524,-29.977,0.0,top,R39,,,R_0603_1608Metric,2k,smt
122.1315,-89.618,180.0,top,R4,,,R_0603_1608Metric,20,smt
59.364524,-43.927,0.0,top,R40,,,R_0603_1608Metric,140,smt
72.013,-30.148,180.0,top,R41,,,R_0603_1608Metric,2k,smt
69.729,-43.934,90.0,top,R42,,,R_0603_1608Metric,140,smt
101.384,-66.944,0.0,top,R43,,,R_0603_1608Metric,100,smt
106.97,-79.4,90.0,top,R44,,,R_0603_1608Metric,100,smt
104.58,-79.22,90.0,top,R45,,,R_0603_1608Metric,100k,smt
102.491,-85.284,-90.0,top,R46,,,R_0603_1608Metric,1.5k,smt
83.15,-30.204,0.0,top,R47,,,R_0603_1608Metric,1k,smt
80.2525,-44.018,90.0,top,R48,,,R_0603_1608Metric,140,smt
88.938,-30.2,0.0,top,R49,,,R_0603_1608Metric,1k,smt
122.1395,-87.479,180.0,top,R5,,,R_0603_1608Metric,20,smt
86.237,-43.971,90.0,top,R50,,,R_0603_1608Metric,140,smt
109.199,-30.168,180.0,top,R51,,,R_0603_1608Metric,100k,smt
109.361,-39.711,0.0,top,R52,,,R_0603_1608Metric,10k,smt
