Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C20, C3",0603,5,100nF,C14663
C10,0603,1,10nF,C57112
"C12, C15, C16",0603,3,1uF,C15849
"C14, C5",0805,2,100nF,C49678
C17,0603,1,220pF,C1603
"C18, C19",CP_Elec_4x5.4,2,1uF,C72491
C2,0603,1,2.2uF,C23630
"C4, C9",CP_Elec_4x5.4,2,10uF,C72485
C6_2,0805,1,100pF,C1790
"C6, C7",0805,2,22uF,C45783
D1,0603,1,LED,C84263
"D10, D13, D15, D23, D25, D28",D_SOD-123F,6,PMEG4010CEH,C193342
"D11, D12, D14, D16, D20, D21, D22, D24, D26, D27, D29, D30, D31, D6",0603,14,LED,C12065
"D17, D18, D32, D33, D34, D35",SODFL3718X102N,6,SMF5.0A,C19077498
D19,D_SMA,1,SMAJ12A,C134947
"D2, D9",SOT-23,2,SM712,C32677
"D3, D37, D4",D_SMA,3,SMAJ33A,C148231
D36,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,BZT52C12_C2891780,C2891780
D38,D_SMA,1,MRA4007T3G,C47921
D39,D_SMA,1,SS14,C2480
D5,0603,1,LED_R,C2286
D7,D_SMA,1,SMAJ5.0A,C87074
D8,D_SMA_TVS,1,SMAJ12CA,C83267
F1,F1812,1,BSMD1812-150-33V,C883154
F3,Reseatteble Fuse,1,Resettable fuse,C7433877
J1,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,C2977590
"J10, J11, J13, J3, J5, J6, J7, J8","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",8,Bolnera 2P,C2915639
J12,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Bolnera 4P,C2915641
J14,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",1,Bolnera 6P,C2915642
J15,PinHeader_2x02_P2.54mm_Vertical,1,PINHD_2x2_Male,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Auxiliares,C492401
"J4, J9","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",2,Bolnera 3P,C2915640
"K1, K2",RELAY-TH_SRA-X-CX,2,SRA-24VDC-CL,C127865
L1,IND-SMD_L4.4-W4.2_CXP0420,1,HCMA-0420-6R8-M,C351092
LED2,LED_LiteOn_LTST-C19HE1WT,1,LiteOn_LTST-C19HE1WT,C458749
"Q1, Q3",SOT-23,2,IRLML0040,C5364305
"Q2, Q4",SOT-23,2,AO3407A,C15155
Q5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,IRLML6402TRPBF-JSM,C18190991
"R1, R2, R6, R7",0603,4,33,C23140
R11_2,0603,1,62k,C136961
"R11, R17, R21, R22, R35, R43, R44",0603,7,100,C22775
R12,0603,1,120,C22787
"R13, R15, R39, R41",0603,4,2k,C22975
"R14, R16, R34, R40, R42, R48, R50",0603,7,140,C245910
"R18, R36, R57, R59, R61",0603,5,22k,C31850
"R19, R37",0603,2,30k,C22984
"R20, R24, R31, R32, R38, R46, R8",0603,7,1.5k,C22843
"R23, R45, R51, R63",0603,4,100k,C25803
"R25, R33, R47, R49",0603,4,1k,C21190
R26,0805,1,147,C228308
"R27, R28, R58, R60",0603,4,4K7,C99782
R29,0603,1,0,C21189
"R3, R4, R5",0603,3,20,C22950
"R30, R52, R54, R55, R56",0603,5,10k,C25804
R53,0603,1,24k,C23352
R62,0603,1,2.5k,C137758
R64,0805,1,15,C137590
"R65, R67",0603,2,5.1K,
R66,0603,1,500,
R9,0603,1,196k,C2974032
"SW3, SW4",SW_SPST_PTS810,2,SW_Push,C139797
U1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
"U10, U11, U14, U15, U16, U17, U18, U19, U20, U8, U9",SO-4_4.4x3.6mm_P2.54mm,11,LTV-357T,C119091
U12,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,GP8201S-TC50-EW,C5240058
U13,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,LK1802,C2984831
U21,ESOP-10_L4.9-W3.9-P1.00-LS6.1-BL-EP,1,GP8303-TC50-EW,C3445809
U5,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C3013946
U6,TSOT-23-6,1,AP63200WU,C2071868
U7,COMM-TH_8P-L19.5-W16.5-P2.54-BL,1,RSM3485ECHT_C2992406,C2992406
