Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Part #,LCSC Part,Vol,Voltage,Voltaje,Sim.Pins,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Sim.Device
"C1, C11, C13, C20, C3",5,100nF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CL10B104KA8NNNC,C1590,[C11]15V; [C20]50V; [C3]10V,10V,,,,,,,,,,,,,,
C10,1,10nF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CC0603KRX7R8BB103,C327204,,10V,,,,,,,,,,,,,,
"C12, C15, C16",3,1uF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CL10B105KA8NNNC,C29936,15V,,,,,,,,,,,,,,,
"C14, C5",2,100nF,C_0805_2012Metric,,,,smt,"SMD 0805 MLCC capacitor, Alternate KiCad Library",CC0805KRX7R8BB104,C519981,,,,,,,,,,,,,,,,
C17,1,220pF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CC0603KRX7R8BB221,C519411,24V,,,,,,,,,,,,,,,
"C18, C19",2,1uF,CP_Elec_4x5.4,,,,smt,Polarized capacitor,RVT1H1R0M0405,C72491,,,,,,,,,,,,,,,,
C2,1,2.2uF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CL10A225KO8NNNC,C23630,,,,,,,,,,,,,,,,
"C4, C9",2,10uF,CP_Elec_4x5.4,,,,smt,Polarized capacitor,RVT1V100M0405,C72485,,,,,,,,,,,,,,,,
C4,1,10uF,C_1206_3216Metric,,,,smt,"SMD 1206 MLCC capacitor, Alternate KiCad Library",,,,,50V,,,,,,,,,,,,,
C6,1,100pF,C_0805_2012Metric,,,,smt,"SMD 0805 MLCC capacitor, Alternate KiCad Library", CC0805KRX7R8BB101,C1854109,,,,,,,,,,,,,,,,
"C7, C8",2,22uF,C_0603_1608Metric,,,,smt,"SMD 0603 MLCC capacitor, Alternate KiCad Library",CL10A226MP8NUNE,C86295,,,10V,,,,,,,,,,,,,
D1,1,SS12,D_SMA,,,,smt,"SMA Schottky diode, 20V, 1A, Alternate KiCAD Library",SS12,C727049,,,,,,,,,,,,,,,,
"D10, D13, D15, D23, D25, D28",6,PMEG4010CEH,D_SOD-123F,,,,smt,"SOD-123F Schottky diode, 40V, 1A, Alternate KiCAD Library","PMEG4010CEH,115",C193342,,,,,,,,,,,,,,,,
"D11, D12, D14, D16, D20, D21, D22, D24, D26, D27, D29, D30, D31, D5, D6",15,LED,LED_0603_1608Metric,,,,smt,Light emitting diode,[D6]TJ-S1608CY6T5ALC7K-A5; [D5]NCD0603R1,[D6]C440520; [D5]C84263,,,,1=K 2=A,,,,,,,,,,,,
"D17, D18, D32, D33, D34, D35",6,SMF5.0A,SODFL3718X102N,SOD-123W-2 Taiwan Semiconductor,,,smt,,SMF5.0CA,C19077498,,,,,Taiwan Semiconductor,1.02 mm,None,https://www.snapeda.com/parts/SMF5.0A/taiwan/view-part/?ref=eda,IPC-7351B,D2103,https://www.snapeda.com/parts/SMF5.0A/taiwan/view-part/?ref=snap,SMF5.0A,"200W, 6.7V, 5%, Unidirectional, TVS",In Stock,Taiwan Semiconductor,
D19,1,SMAJ12A,D_SMA,,,,smt,"SMA Unidirectional TVS diode, 12V, 400W, Alternate KiCAD Library",SMAJ12A-13-F,C134947,,,,,,,,,,,,,,,,
"D2, D9",2,SM712,SOT-23,,,,smt,"SOT-23 Dual bidirectional TVS diode, 12V/7V, 600W, Alternate KiCAD Library",SM712-02HTG,C172881,,,,,,,,,,,,,,,,
"D3, D37, D4",3,SMAJ33A,D_SMA,,,,smt,"SMA Unidirectional TVS diode, 33V, 400W, Alternate KiCAD Library",SMAJ33A,C148231,,,,,,,,,,,,,,,,
D36,1,BZT52C12_C2891780,SOD-123_L2.7-W1.6-LS3.7-RD-1,,,,smt,,BZT52C12,C2891780,,,,,,,,,,,,,,,,
D38,1,MRA4007T3G,D_SMA,,,,smt,"1000V, 1A, General Purpose Rectifier Diode, SMA(DO-214AC)",MRA4007T3G,C47921,,,,1=K 2=A,,,,,,,,,,,,D
D7,1,SMAJ5.0A,D_SMA,,,,smt,"SMA Unidirectional TVS diode, 5V, 400W, Alternate KiCAD Library",SMAJ5.0A-13-F,C87074,,,,,,,,,,,,,,,,
D8,1,SMAJ12CA,D_SMA_TVS,,,,smt,"SMA Bidirectional TVS Diode, 12V, 400W, Alternate KiCAD Library",SMAJ12CA-13-F,C134947,,,,,,,,,,,,,,,,
F1,1,BSMD1812-150-33V,F1812,,,,smt,,BSMD1812-150-33V,C883154,,,,,,,,,,,,,,,,
F3,1,Resettable fuse,Reseatteble Fuse,,,,smt,,BSMD1812-200-33V,C7433877,,,,,,,,,,,,,,,,
J1,1,Conn_02x02_Counter_Clockwise,PinSocket_2x02_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",2.54-2*2,C2977590,,,,,,,,,,,,,,,,
J10,1,FUENTE IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J11,1,FUENTE EX,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J12,1,ANALOG_IN,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-4P-GN-S,C2915641,,,,,,,,,,,,,,,,
J13,1,RUN/STOP,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
J14,1,RELAY,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-6P-GN-S,C2915642,,,,,,,,,,,,,,,,
J2,1,Auxiliares,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",PZ254V-11-02P,C492401,,,,,,,,,,,,,,,,
J3,1,NPN_IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",DB128V-5.08-2P-GN-S,C2915639,,,,,,,,,,,,,,,,
