"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part","Part #"
"C1,C3,C11,C13,C20","5","100nF","","","","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707083955945472","C14663","CC0603KRX7R9BB104"
"C2","1","2.2uF","","","","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","https://www.lcsc.com/datasheet/C23630.pdf","C23630","CL10A225KO8NNNC"
"C4,C9","2","10uF","","","","Capacitor_SMD:CP_Elec_4x5.4","https://www.lcsc.com/datasheet/C72485.pdf","C72485","RVT1V100M0405"
"C5,C14","2","100nF","","","","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706882463744000","C49678","CC0805KRX7R9BB104"
"C6","1","100pF","","","","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706805758312448","C1790","CL21C101JBANNNC"
"C10","1","10nF","","","","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707164920893440","C57112","0603B103K500NT"
"C12,C15,C16","3","1uF","","","","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8556213788459761664","C15849","CL10A105KB8NNNC"
"C17","1","220pF","","","","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706990821425152","C1603","CL10B221KB8NNNC"
"C18,C19","2","1uF","","","","Capacitor_SMD:CP_Elec_4x5.4","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8556213788459761664","C72491","RVT1H1R0M0405"
"C21,C22","2","22uF","","","","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706866429190144","C45783","CL21A226MAQNNNE"
